Keyword,Page type,Location,Tag,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
top 5 places to see in spain,Country PLP,Spain,Places & destinations,170,0%,-33%,Low,210,210,170,210,170,140,140,110,110,140,140,140
top 5 things to do in spain,Country PLP,Spain,Activities & experiences,50,-29%,67%,Medium,50,90,40,30,20,40,30,20,70,70,40,50
top 50 places to visit in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,0,10,10,10,10,10,10,10,10,10
top beach destinations in spain,Country PLP,Spain,Beaches & coast,260,23%,-33%,Low,390,480,390,390,210,140,110,110,140,260,260,320
top cities to see in spain,Country PLP,Spain,Urban destinations,12100,-18%,-45%,Low,14800,18100,12100,12100,12100,9900,9900,8100,8100,12100,9900,9900
top destinations in southern spain,Country PLP,Spain,Regional exploration,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
top destinations in spain for families,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,20,10,10,10,10,10,10,10,10,10,10
top fifteen destination in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,0,10,10,10,0,10,10,10,10,10,10,10
top five places to visit in spain,Country PLP,Spain,Places & destinations,170,0%,-33%,Low,210,210,170,210,170,140,140,110,110,140,140,140
top places in spain to go on holiday,Country PLP,Spain,Trip types & holidays,20,100%,-50%,Medium,40,40,30,10,20,20,10,10,10,10,20,20
top places in spain to travel,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,0,10,10,10,0,10,10,10
top places to go to in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Medium,1900,1900,1600,1600,1600,1300,1300,1000,1000,1900,1600,1600
top places to see spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
top places to travel in spain,Country PLP,Spain,Places & destinations,70,-36%,-36%,Medium,70,90,90,90,50,50,50,40,40,110,70,70
top places to visit in northern spain,Country PLP,Spain,Regional exploration,20,-33%,0%,Low,20,30,30,30,10,20,10,10,10,30,10,20
top places to visit in southern spain,Country PLP,Spain,Regional exploration,20,50%,50%,Low,20,10,20,10,10,10,10,20,10,20,10,30
top places to visit in spain tripadvisor,Country PLP,Spain,Places & destinations,10,0%,-100%,Unknown,0,0,10,10,10,0,0,10,0,0,0,0
top sights to see in spain,Country PLP,Spain,Sightseeing & landmarks,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
top sites to see in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Medium,1900,1900,1600,1600,1600,1300,1300,1000,1000,1900,1600,1600
top spain destinations for couples,Country PLP,Spain,Trip types & holidays,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
top spots in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Medium,1900,1900,1600,1600,1600,1300,1300,1000,1000,1900,1600,1600
top spots to visit in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Medium,1900,1900,1600,1600,1600,1300,1300,1000,1000,1900,1600,1600
top ten attractions in spain,Country PLP,Spain,Sightseeing & landmarks,140,-35%,-35%,Medium,170,210,110,140,110,140,140,90,110,170,90,110
top ten cities in spain,Country PLP,Spain,Urban destinations,1600,-16%,0%,Low,1600,2900,1600,1600,1300,1600,1600,1600,1300,1900,1600,1600
top ten cities to visit in spain,Country PLP,Spain,Urban destinations,110,-18%,-18%,Low,140,140,110,110,90,90,90,70,70,110,90,90
top ten destinations in spain,Country PLP,Spain,Places & destinations,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
top ten places to go in spain,Country PLP,Spain,Places & destinations,2400,-21%,-34%,Low,2900,2900,2400,1900,1900,2400,1900,1600,1600,2400,1900,1900
top ten things to see in spain,Country PLP,Spain,Sightseeing & landmarks,140,-35%,-35%,Medium,170,210,110,140,110,140,140,90,110,170,90,110
top things in spain,Country PLP,Spain,Places & destinations,260,24%,53%,Low,260,320,170,90,210,390,260,210,210,210,260,260
top things to do in northern spain,Country PLP,Spain,Regional exploration,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
top things to do in southern spain,Country PLP,Spain,Regional exploration,10,50%,200%,Low,10,10,10,10,20,10,10,10,10,20,10,30
top things to visit in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
top three cities to visit in spain,Country PLP,Spain,Urban destinations,10,0%,-50%,Low,10,30,10,10,10,10,10,10,10,10,20,10
top three places to visit in spain,Country PLP,Spain,Places & destinations,10,-50%,0%,Low,20,20,10,10,10,10,30,10,10,20,20,10
top tourist places in spain,Country PLP,Spain,Places & destinations,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
top tourist sites in spain,Country PLP,Spain,Places & destinations,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
top tourist spots in spain,Country PLP,Spain,Places & destinations,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
top towns to visit in spain,Country PLP,Spain,Urban destinations,10,0%,-50%,Medium,20,10,10,20,10,10,10,10,10,10,10,10
top travel destinations in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Medium,1900,1900,1600,1600,1600,1300,1300,1000,1000,1900,1600,1600
top vacation spots in spain,Country PLP,Spain,Trip types & holidays,20,-50%,-50%,Low,20,20,20,20,20,20,10,10,10,20,20,10
top15 destination in spain,Country PLP,Spain,Places & destinations,0,0%,0%,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
tourism and attractions in spain,Country PLP,Spain,Sightseeing & landmarks,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
tourist city in spain,Country PLP,Spain,Urban destinations,880,0%,-12%,Low,1000,1300,880,720,880,1000,1000,720,720,880,880,880
tourist hotspots in spain,Country PLP,Spain,Places & destinations,2900,-17%,-17%,Low,4400,5400,2900,1600,2900,4400,3600,2400,2400,2900,2400,2400
tourist office spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,20,10,10,10,10,10,10,10,10,10,10,10
tourist places to visit in spain,Country PLP,Spain,Places & destinations,880,0%,-12%,Low,1000,1300,880,720,880,1000,1000,720,720,880,880,880
tourist things to do in spain,Country PLP,Spain,Activities & experiences,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
tourist towns in spain,Country PLP,Spain,Urban destinations,20,100%,-33%,Low,20,20,20,40,30,20,20,20,10,10,20,20
tourist travel to spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,0,10,10,10,10
touropia spain,Country PLP,Spain,Places & destinations,20,-60%,-33%,Low,30,20,30,20,20,20,10,10,10,50,20,20
towns in spain to visit,Country PLP,Spain,Urban destinations,140,-18%,-18%,Low,170,210,140,140,140,110,140,90,90,170,140,140
towns to visit in spain,Country PLP,Spain,Urban destinations,50,0%,0%,Low,70,50,50,50,40,70,50,40,40,70,70,70
travel ideas spain,Country PLP,Spain,Places & destinations,50,-29%,-29%,Medium,90,70,40,30,50,50,40,40,50,70,40,50
travel spain safe,Country PLP,Spain,Places & destinations,90,200%,91%,Low,110,110,170,70,70,50,50,40,50,70,50,210
travel to spain in april,Country PLP,Spain,Seasonality & weather,30,75%,0%,Low,20,10,10,10,20,20,20,20,30,40,40,70
travel to spain in august,Country PLP,Spain,Seasonality & weather,40,33%,0%,Low,40,70,70,70,30,20,10,10,10,30,20,40
travel to spain in february,Country PLP,Spain,Seasonality & weather,20,-80%,0%,Medium,10,20,10,10,20,30,30,40,40,50,10,10
travel to spain in june,Country PLP,Spain,Seasonality & weather,20,50%,-25%,Medium,20,30,10,10,10,10,10,10,10,20,20,30
travel to spain in march,Country PLP,Spain,Seasonality & weather,20,-40%,50%,Low,10,10,10,20,20,30,20,30,30,50,30,30
travel to spain in may,Country PLP,Spain,Seasonality & weather,20,25%,0%,Low,30,20,10,10,10,10,10,10,10,40,30,50
travel to spain in october,Country PLP,Spain,Seasonality & weather,50,-33%,-33%,Medium,20,40,50,70,110,140,40,10,10,30,20,20
travel to spain march 2022,Country PLP,Spain,Seasonality & weather,0,0%,0%,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
travel to spain safe,Country PLP,Spain,Places & destinations,50,767%,550%,Low,40,70,70,20,20,10,10,10,10,30,20,260
traveling alone in spain,Country PLP,Spain,Places & destinations,30,0%,-60%,Medium,50,30,30,50,40,30,20,20,10,20,20,20
traveling to spain in july,Country PLP,Spain,Seasonality & weather,20,0%,-50%,Low,30,40,40,20,10,10,10,10,10,20,20,20
trip to spain locations,Country PLP,Spain,Places & destinations,10,0%,-50%,Low,20,20,10,10,10,20,10,10,10,10,10,10
underrated cities in spain,Country PLP,Spain,Urban destinations,170,0%,0%,Low,210,170,210,170,140,140,90,140,110,210,210,210
underrated places in spain,Country PLP,Spain,Hidden gems & alternatives,170,0%,0%,Low,210,170,210,170,140,140,90,140,110,210,210,210
underrated places to visit in spain,Country PLP,Spain,Hidden gems & alternatives,30,67%,0%,Low,40,40,30,30,30,20,20,20,20,30,40,50
unique places in spain,Country PLP,Spain,Places & destinations,70,-20%,-64%,Low,110,110,90,70,70,70,50,30,30,50,40,40
unusual things to do in spain,Country PLP,Spain,Activities & experiences,260,-19%,-56%,Low,320,480,320,260,260,260,170,140,110,210,170,170
vacation spain 2022,Country PLP,Spain,Trip types & holidays,10,0%,0%,Unknown,0,0,0,0,0,0,0,10,0,0,0,0
vacation spots in spain beach,Country PLP,Spain,Beaches & coast,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
visit north of spain,Country PLP,Spain,Regional exploration,20,50%,-25%,Medium,30,40,30,30,20,20,20,10,20,20,20,30
visit north spain,Country PLP,Spain,Regional exploration,20,50%,-25%,Medium,30,40,30,30,20,20,20,10,20,20,20,30
visit spain in august,Country PLP,Spain,Seasonality & weather,50,-20%,-43%,Low,90,90,90,90,40,30,20,30,30,50,40,40
visit spain in january,Country PLP,Spain,Seasonality & weather,70,-50%,-33%,Low,20,50,50,50,70,90,110,110,110,40,20,20
visit spain in june,Country PLP,Spain,Seasonality & weather,30,-57%,-57%,Low,50,70,30,20,20,10,20,10,40,70,40,30
visit spain in march,Country PLP,Spain,Seasonality & weather,70,-79%,-57%,Low,20,30,40,50,70,50,90,90,70,140,70,30
visit spain in may,Country PLP,Spain,Seasonality & weather,40,-43%,-43%,Medium,70,30,10,20,30,30,30,30,40,70,50,40
visit spain in november,Country PLP,Spain,Seasonality & weather,90,50%,-25%,Low,70,90,90,140,140,170,110,50,20,20,30,30
visit spain in september,Country PLP,Spain,Seasonality & weather,40,0%,-20%,Medium,70,70,70,70,50,20,20,10,20,40,20,40
visit spain in winter,Country PLP,Spain,Seasonality & weather,40,-67%,-67%,Low,20,30,40,50,70,50,50,50,30,30,10,10
visiting spain in february,Country PLP,Spain,Seasonality & weather,50,-91%,-50%,Low,20,30,20,50,50,50,90,110,90,110,30,10
visitor attractions in spain,Country PLP,Spain,Sightseeing & landmarks,170,0%,-18%,Low,170,320,170,90,110,320,320,170,170,140,170,140
warmest place in mainland spain in winter,Country PLP,Spain,Seasonality & weather,170,-48%,0%,Low,90,110,140,140,210,260,320,210,170,210,140,110
warmest place in spain in december,Country PLP,Spain,Seasonality & weather,480,-46%,-18%,Low,210,170,260,390,480,720,1000,1300,1000,260,140,140
warmest place in spain in january,Country PLP,Spain,Seasonality & weather,320,-85%,-36%,Low,110,140,170,170,320,390,480,720,880,590,110,90
we go spain,Country PLP,Spain,Places & destinations,10,0%,100%,Medium,10,10,10,20,20,10,10,10,20,20,10,20
winter destinations in spain,Country PLP,Spain,Seasonality & weather,30,-50%,0%,Low,10,10,10,20,20,30,70,70,30,20,10,10
winter sun destinations spain,Country PLP,Spain,Seasonality & weather,30,-50%,0%,Low,10,50,10,10,10,10,170,10,10,20,10,10
